0.14	1.26	0.2	10	0.0672387	0.00573977	0.00573977	0.0231244	0.000581475	0.000581475
0.14	1.26	0.2	30	0.142696	0.00729423	0.00729423	0.0148446	0.000185096	0.000185096
0.14	1.26	0.2	50	0.252689	0.020177	0.020177	0.00268193	0.000215487	0.000215487
0.14	1.26	0.2	70	0.285657	0.0235139	0.0235139	0.00255758	0.000207141	0.000207141
0.14	1.26	0.2	90	0.207392	0.0169033	0.0169033	0.00257689	7.03815e-05	7.03815e-05
0.14	1.26	0.2	110	0.165493	0.0205899	0.0205899	0.00168115	0.000123811	0.000123811
0.14	1.26	0.2	130	0.152851	0.0207256	0.0207256	0.00191126	0.000171319	0.000171319
0.14	1.26	0.2	150	0.182898	0.0238667	0.0238667	0.00149942	0.000213428	0.000213428
0.14	1.26	0.2	170	0.0721839	0.027242	0.027242	0.00110907	2.55652e-05	2.55652e-05
0.14	1.26	0.2	190	-0.0567194	0.0327684	0.0327684	0.000763739	2.1215e-05	2.1215e-05
0.14	1.26	0.2	210	-0.126414	0.0271326	0.0271326	0.000990866	3.60369e-05	3.60369e-05
0.14	1.26	0.2	230	-0.212766	0.0243607	0.0243607	0.00134244	2.81266e-05	2.81266e-05
0.14	1.26	0.2	250	-0.222465	0.0207025	0.0207025	0.00175795	6.00141e-05	6.00141e-05
0.14	1.26	0.2	270	-0.231584	0.0188952	0.0188952	0.00213211	5.56992e-05	5.56992e-05
0.14	1.26	0.2	290	-0.263002	0.0176429	0.0176429	0.00291117	0.000139087	0.000139087
0.14	1.26	0.2	310	-0.233084	0.0147289	0.0147289	0.00404136	0.000158271	0.000158271
0.14	1.26	0.2	330	-0.15614	0.00768946	0.00768946	0.0136884	8.98144e-05	8.98144e-05
0.14	1.26	0.2	350	-0.0570247	0.00593141	0.00593141	0.0222313	0.000403815	0.000403815
0.24	1.63	0.2	10	0.11105	0.0125214	0.0125214	0.00185063	2.45895e-05	2.45895e-05
0.24	1.63	0.2	30	0.193615	0.0121441	0.0121441	0.00166766	2.94555e-05	2.94555e-05
0.24	1.63	0.2	50	0.253692	0.0165736	0.0165736	0.000886676	1.79041e-05	1.79041e-05
0.24	1.63	0.2	70	0.249804	0.020027	0.020027	0.000581222	1.5737e-05	1.5737e-05
0.24	1.63	0.2	90	0.291926	0.0239292	0.0239292	0.000297324	3.54055e-05	3.54055e-05
0.24	1.63	0.2	110	0.168067	0.0427466	0.0427466	3.41797e-05	6.80481e-05	6.80481e-05
0.24	1.63	0.2	130	0.242764	0.102553	0.102553	4.08585e-05	2.83303e-06	2.83303e-06
0.24	1.63	0.2	150	0.196078	0.236787	0.236787	1.45362e-05	1.6898e-06	1.6898e-06
0.24	1.63	0.2	170	0.392157	0.320195	0.320195	3.53583e-06	8.33403e-07	8.33403e-07
0.24	1.63	0.2	190	-0.392157	0.452824	0.452824	1.96435e-06	6.21182e-07	6.21182e-07
0.24	1.63	0.2	210	0.0904977	0.230041	0.230041	7.8574e-06	1.24236e-06	1.24236e-06
0.24	1.63	0.2	230	-0.168067	0.110026	0.110026	4.12514e-05	2.84661e-06	2.84661e-06
0.24	1.63	0.2	250	-0.317349	0.0494098	0.0494098	7.59811e-05	2.95232e-05	2.95232e-05
0.24	1.63	0.2	270	-0.310627	0.0275688	0.0275688	0.000192234	2.83059e-05	2.83059e-05
0.24	1.63	0.2	290	-0.288673	0.0216768	0.0216768	0.000484884	1.98034e-05	1.98034e-05
0.24	1.63	0.2	310	-0.219764	0.0187667	0.0187667	0.000656716	1.87734e-05	1.87734e-05
0.24	1.63	0.2	330	-0.228588	0.0166131	0.0166131	0.000930168	1.79995e-05	1.79995e-05
0.24	1.63	0.2	350	-0.0429364	0.0142658	0.0142658	0.00153392	2.055e-05	2.055e-05
